City,Cuisines,Total_Restaurants,Average_Rating,Total_Votes
Birmingham,Latin American,1,4.6,100
Birmingham,"Latin American, Italian",1,4.0,40
Birmingham,Mexican,1,4.0,93
Birmingham,"Pakistani, Indian",1,3.7,32
Birmingham,Thai,1,3.9,22
Birmingham,Turkish,1,3.6,9
Bogor,"Cafe, Desserts, Beverages",1,3.7,783
Bogor,"Peranakan, Indonesian",1,4.0,1159
Boise,American,1,4.4,487
Boise,"American, BBQ, Steak",1,4.0,369
Boise,"American, Bar Food",2,4.4,1434
Boise,"American, Burger",2,4.4,1473
Boise,"American, Burger, Sandwich",1,4.2,334
Boise,"American, Seafood, Steak",1,3.9,379
Boise,Brazilian,1,4.0,435
Boise,Breakfast,1,4.3,422
Boise,"Breakfast, Sandwich",1,4.5,879
Boise,"European, Spanish",1,4.3,303
Boise,"Italian, Pizza",1,4.6,615
Boise,"Italian, Seafood, Vegetarian",1,4.4,360
Boise,"Japanese, Sushi, Teriyaki",1,4.1,393
Boise,"Latin American, Steak",1,4.1,538
Boise,Mexican,1,4.4,660
Boise,Pizza,2,4.199999999999999,960
Boise,"Sushi, Thai",1,4.0,340
Brasí_lia,"American, Burger",1,3.6,9
Brasí_lia,"American, Grill",1,4.0,10
Brasí_lia,Arabian,1,3.7,8
Brasí_lia,Bakery,1,3.7,11
Brasí_lia,"Bar Food, Brazilian",1,3.6,9
Brasí_lia,Brazilian,1,3.8,11
Brasí_lia,"Brazilian, Cafe",1,0.0,2
Brasí_lia,Cafe,1,3.8,9
Brasí_lia,"Fast Food, French",1,3.0,6
Brasí_lia,International,2,4.550000000000001,47
Brasí_lia,Italian,2,3.6999999999999997,20
Brasí_lia,Japanese,2,3.4000000000000004,15
Brasí_lia,"Mexican, Grill",1,4.3,29
Brasí_lia,"Peruvian, Latin American",1,3.6,5
Brasí_lia,Pizza,2,3.1500000000000004,20
Brasí_lia,Seafood,1,3.2,6
Cape Town,"Burger, American",1,4.4,281
Cape Town,"Burger, American, Grill",1,4.1,298
Cape Town,"Burger, Fast Food, Grill",1,3.6,131
Cape Town,Cafe,1,4.4,514
Cape Town,"Cafe, Bakery",1,4.2,266
Cape Town,"Cafe, Bakery, Tea, Vegetarian",1,4.0,185
Cape Town,"Cafe, Burger",1,4.8,319
Cape Town,"Cafe, Mediterranean",1,4.1,374
Cape Town,"Cafe, Patisserie",1,4.1,88
Cape Town,"Cafe, Patisserie, Bakery, Desserts",1,4.4,157
Cape Town,"Desserts, Ice Cream",1,4.5,328
Cape Town,"Japanese, Asian, Seafood, Sushi",1,4.0,110
Cape Town,"Japanese, Sushi, Asian",1,3.9,239
Cape Town,Mediterranean,1,4.5,356
Cape Town,"Pizza, Grill",1,3.7,22
Cape Town,"Seafood, African, Sushi",1,3.8,280
Cape Town,"Seafood, Asian, Grill, Sushi",1,3.8,619
Cape Town,"Seafood, Japanese, Sushi",1,4.4,466
Cape Town,"Spanish, Tapas",1,3.7,255
Cape Town,Sushi,1,3.8,127
Cedar Rapids/Iowa City,"American, BBQ, Burger",1,4.4,430
Cedar Rapids/Iowa City,"American, Breakfast",1,4.1,294
Cedar Rapids/Iowa City,"American, Breakfast, Burger",2,4.3,917
Cedar Rapids/Iowa City,"American, International, Sushi",1,3.8,220
Cedar Rapids/Iowa City,"American, Italian, Pizza",1,3.8,161
Cedar Rapids/Iowa City,"American, Mediterranean, Seafood",1,3.7,98
Cedar Rapids/Iowa City,BBQ,1,4.2,259
Cedar Rapids/Iowa City,"Breakfast, Diner",1,3.6,253
